data_cotacao,produto,regiao,unidade,preco,fonte
2026-06-19,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,60.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,1.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Nanica primeira - produtor,Linhares,quilograma,1.73,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,1.64,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.39,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.53,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,150.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,2.30,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata anã primeira - produtor,Delfinópolis,quilograma,3.48,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata anã primeira - produtor,Linhares,quilograma,3.48,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,3.35,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata anã primeira - produtor,Vale do São Francisco,quilograma,2.30,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,75.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,3.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-19,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.39,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - atacado,Norte de Santa Catarina,quilograma,1.14,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,65.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,1.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - produtor,Linhares,quilograma,1.20,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,1.63,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.13,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.65,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,105.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,2.37,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata anã primeira - produtor,Delfinópolis,quilograma,3.09,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata anã primeira - produtor,Linhares,quilograma,2.50,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,2.96,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata anã primeira - produtor,Vale do São Francisco,quilograma,2.15,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,70.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.42,Hortifruti/Cepea (CC BY-NC 4.0)
2026-06-26,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.56,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,52.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,1.75,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Nanica primeira - produtor,Linhares,quilograma,2.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,1.63,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.12,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.56,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,110.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,1.98,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata anã primeira - produtor,Delfinópolis,quilograma,2.87,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata anã primeira - produtor,Linhares,quilograma,2.90,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,2.45,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata anã primeira - produtor,Vale do São Francisco,quilograma,2.25,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,62.50,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Bom Jesus da Lapa,quilograma,1.60,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Delfinópolis,quilograma,2.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.22,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.55,Hortifruti/Cepea (CC BY-NC 4.0)
