data,ptvs,total_t,prata_t,nanica_t,outras_t,cfo_ptvs,cfo_total_t,cfo_prata_t,cfo_nanica_t,cfo_outras_t
2026-03-06,411,3150.309,1661.119,1455.83,33.36,,,,,
2026-03-07,66,404.771,179.07,225.065,0.636,,,,,
2026-03-09,281,2360.515,1277.564,1025.634,57.317,,,,,
2026-03-10,260,2269.2,1383.925,840.13,45.145,,,,,
2026-03-11,289,2055.971,1004.191,1007.909,43.871,,,,,
2026-03-12,319,2565.942,1357.576,1141.387,66.979,,,,,
2026-03-13,407,3022.42,1694.783,1223.242,104.395,,,,,
2026-03-14,70,427.679,205.16,221.88,0.639,,,,,
2026-03-15,2,15.0,7.0,8.0,0.0,,,,,
2026-03-16,275,2337.559,1299.644,972.685,65.23,,,,,
2026-03-17,243,2129.214,1255.532,853.324,20.358,,,,,
2026-03-18,284,1857.948,884.17,936.584,37.194,,,,,
2026-03-19,276,2320.858,1299.155,949.306,72.397,,,,,
2026-03-20,348,2549.004,1510.84,1011.029,27.135,,,,,
2026-03-21,71,409.248,158.318,247.3,3.63,,,,,
2026-03-23,236,2149.347,1187.148,930.134,32.065,,,,,
2026-03-24,239,2045.504,992.18,843.435,209.889,,,,,
2026-03-25,261,1757.304,916.504,821.721,19.079,,,,,
2026-03-26,247,2142.441,1255.369,819.739,67.333,,,,,
2026-03-27,373,2782.244,1548.004,1198.293,35.947,,,,,
2026-03-28,68,404.868,239.344,164.89,0.634,,,,,
2026-03-29,3,3.795,0.0,0.0,3.795,,,,,
2026-03-30,254,2327.129,1466.595,815.618,44.916,,,,,
2026-03-31,243,2200.279,1336.775,829.365,34.139,,,,,
2026-04-01,300,2055.401,952.63,1072.878,29.893,,,,,
2026-04-02,324,2939.274,1653.654,1273.417,12.203,,,,,
2026-04-03,5,54.0,23.5,30.5,0.0,,,,,
2026-04-04,67,198.846,98.892,86.92,13.034,,,,,
2026-04-06,280,2610.215,1462.646,1066.347,81.222,,,,,
2026-04-07,302,2727.823,1438.407,1247.836,41.58,,,,,
2026-04-08,299,1982.618,1006.713,913.719,62.186,,,,,
2026-04-22,297,1945.066,1001.358,910.259,33.449,,,,,
2026-04-23,258,2359.355,1214.835,1113.4,31.12,,,,,
2026-04-24,361,2668.233,1520.004,1105.834,42.395,,,,,
2026-04-25,62,258.858,168.243,90.09,0.525,,,,,
2026-04-27,247,2256.39,1221.56,1012.41,22.42,,,,,
2026-04-28,220,1989.704,1021.218,950.451,18.035,,,,,
2026-04-29,251,1619.754,981.03,598.851,39.873,,,,,
2026-04-30,442,3699.8,1856.62,1806.546,36.634,,,,,
2026-05-01,30,382.03,240.54,137.59,3.9,,,,,
2026-05-02,64,294.394,175.516,118.34,0.538,,,,,
2026-05-04,260,2184.51,1265.011,847.012,72.487,,,,,
2026-05-05,252,2332.609,1237.202,1047.187,48.22,,,,,
2026-05-06,264,1950.52,883.59,1051.881,15.049,,,,,
2026-05-07,306,2446.464,1076.719,1277.556,92.189,,,,,
2026-05-08,426,3375.27,1955.109,1366.734,53.427,,,,,
2026-05-09,58,328.197,167.802,159.94,0.455,,,,,
2026-05-14,267,2513.439,1136.85,1308.462,68.127,,,,,
2026-05-15,376,2918.297,1572.906,1267.288,78.103,,,,,
2026-05-16,66,345.818,217.41,127.09,1.318,,,,,
2026-05-18,260,2397.84,1200.621,1147.26,49.959,,,,,
2026-05-19,306,2703.005,1240.309,1428.411,34.285,,,,,
2026-05-20,241,1729.846,830.015,871.452,28.379,,,,,
2026-05-21,244,2197.832,1064.544,1106.132,27.156,,,,,
2026-05-22,368,2875.365,1466.699,1388.725,19.941,,,,,
2026-05-23,70,340.529,138.493,201.465,0.571,,,,,
