data,papel,municipio,toneladas,documento,grupo
2026-03-06,destino,ALTEROSA,4.8,,prata
2026-03-06,destino,AMERICANA,23.1,,nanica
2026-03-06,destino,ARAGUARI,7.0,,prata
2026-03-06,destino,ARCOS,7.875,,prata
2026-03-06,destino,BARROSO,2.0,,nanica
2026-03-06,destino,BARROSO,6.0,,prata
2026-03-06,destino,BARUERI,9.98,,prata
2026-03-06,destino,BAURU,15.0,,nanica
2026-03-06,destino,BAURU,16.5,,prata
2026-03-06,destino,BELO HORIZONTE,19.0,,prata
2026-03-06,destino,BRASÍLIA,19.5,,nanica
2026-03-06,destino,BRASÍLIA,95.99,,prata
2026-03-06,destino,BRAZÓPOLIS,17.44,,prata
2026-03-06,destino,CAETANÓPOLIS,7.0,,outras
2026-03-06,destino,CAETANÓPOLIS,2.0,,prata
2026-03-06,destino,CAMPESTRE,1.1,,nanica
2026-03-06,destino,CAMPESTRE,1.0,,prata
2026-03-06,destino,CAMPINAS,136.215,,nanica
2026-03-06,destino,CAMPINAS,2.25,,outras
2026-03-06,destino,CAMPINAS,67.04,,prata
2026-03-06,destino,CAMPO GRANDE,44.04,,nanica
2026-03-06,destino,CAMPO GRANDE,8.04,,prata
2026-03-06,destino,CAMPOS DO JORDÃO,1.7,,nanica
2026-03-06,destino,CAMPOS DO JORDÃO,1.3,,prata
2026-03-06,destino,CARATINGA,6.0,,nanica
2026-03-06,destino,CARATINGA,6.0,,outras
2026-03-06,destino,CARATINGA,10.0,,prata
2026-03-06,destino,CATALÃO,0.112,,nanica
2026-03-06,destino,CATALÃO,0.292,,outras
2026-03-06,destino,CATALÃO,0.096,,prata
2026-03-06,destino,CHAPADÃO DO CÉU,0.018,,outras
2026-03-06,destino,CHAPADÃO DO SUL,0.09,,outras
2026-03-06,destino,CHAPADÃO DO SUL,0.19,,prata
2026-03-06,destino,CONTAGEM,195.1,,nanica
2026-03-06,destino,CONTAGEM,299.27,,prata
2026-03-06,destino,CUIABÁ,15.12,,nanica
2026-03-06,destino,CUIABÁ,2.52,,prata
2026-03-06,destino,CURITIBA,29.76,,nanica
2026-03-06,destino,CURVELO,30.5,,nanica
2026-03-06,destino,CURVELO,12.14,,prata
2026-03-06,destino,DIVINÓPOLIS,6.0,,prata
2026-03-06,destino,FRANCA,14.0,,nanica
2026-03-06,destino,GOIÂNIA,3.0,,outras
2026-03-06,destino,GOVERNADOR VALADARES,3.0,,nanica
2026-03-06,destino,GOVERNADOR VALADARES,3.0,,outras
2026-03-06,destino,GOVERNADOR VALADARES,3.0,,prata
2026-03-06,destino,GUARULHOS,13.5,,prata
2026-03-06,destino,INOCÊNCIA,0.076,,nanica
2026-03-06,destino,INOCÊNCIA,0.036,,outras
2026-03-06,destino,INOCÊNCIA,0.038,,prata
2026-03-06,destino,IPAMERI,0.064,,nanica
2026-03-06,destino,IPAMERI,0.216,,outras
2026-03-06,destino,IPAMERI,0.064,,prata
2026-03-06,destino,IPATINGA,8.0,,prata
2026-03-06,destino,IPUIÚNA,4.0,,prata
2026-03-06,destino,ITAJUBÁ,10.0,,prata
2026-03-06,destino,ITAPERUNA,0.5,,nanica
2026-03-06,destino,ITAPERUNA,0.5,,prata
2026-03-06,destino,ITARIRI,23.46,,nanica
2026-03-06,destino,ITARIRI,16.722,,prata
2026-03-06,destino,ITAÚNA,2.4,,nanica
2026-03-06,destino,ITUMBIARA,0.264,,nanica
2026-03-06,destino,ITUMBIARA,0.822,,outras
2026-03-06,destino,ITUMBIARA,0.98,,prata
2026-03-06,destino,JANAÚBA,17.5,,nanica
2026-03-06,destino,JANAÚBA,26.0,,prata
2026-03-06,destino,JARDINÓPOLIS,12.0,,nanica
2026-03-06,destino,JOÃO MONLEVADE,7.5,,nanica
2026-03-06,destino,JOÃO MONLEVADE,7.5,,prata
2026-03-06,destino,JUIZ DE FORA,12.0,,prata
2026-03-06,destino,JUNDIAÍ,19.6,,nanica
2026-03-06,destino,JUNDIAÍ,12.0,,prata
2026-03-06,destino,LORENA,1.5,,prata
2026-03-06,destino,LOUVEIRA,12.8,,nanica
2026-03-06,destino,MARINGÁ,16.9,,nanica
2026-03-06,destino,MARINGÁ,6.0,,prata
2026-03-06,destino,MATEUS LEME,5.44,,prata
2026-03-06,destino,MIRACATU,67.16,,nanica
2026-03-06,destino,MIRADOURO,0.25,,nanica
2026-03-06,destino,MIRADOURO,6.0,,prata
2026-03-06,destino,MONTES CLAROS,10.5,,nanica
2026-03-06,destino,MONTES CLAROS,3.0,,outras
2026-03-06,destino,MONTES CLAROS,36.78,,prata
2026-03-06,destino,NITERÓI,15.705,,prata
2026-03-06,destino,NOVA UNIÃO,11.25,,prata
2026-03-06,destino,OSASCO,37.7,,nanica
2026-03-06,destino,PARAIBUNA,27.012,,nanica
2026-03-06,destino,PARANAÍBA,0.038,,nanica
2026-03-06,destino,PARAOPEBA,120.0,,nanica
2026-03-06,destino,PARAOPEBA,75.0,,prata
2026-03-06,destino,PARAÍSO DAS ÁGUAS,0.095,,nanica
2026-03-06,destino,PARAÍSO DAS ÁGUAS,0.038,,outras
2026-03-06,destino,PATOS DE MINAS,0.95,,nanica
2026-03-06,destino,PATOS DE MINAS,22.8,,prata
2026-03-06,destino,PEDRALVA,12.1,,nanica
2026-03-06,destino,PETRÓPOLIS,0.5,,prata
2026-03-06,destino,PIAU,15.0,,nanica
2026-03-06,destino,PIEDADE DE CARATINGA,13.0,,prata
2026-03-06,destino,PINDAMONHANGABA,3.0,,prata
